ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE,ECube2,sumE
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781928,0,0.530713
10,2,3,0,0,0,0,0,0,0,0,0,0.189171,0,0,0,1.27085,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10123,0.189171,1.46002
10,8,4,0,0,0,0,0.209559,0,0,0,0,0,0,0,0,2.30112,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46224,0.209559,2.64112
5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1.80158,3.13012,0,0,0.409432,0,0,0,0,0,0,0,0,0,0,9.85767,1.80158,5.50035
11,4,7,0,0,0,0,0.229825,0,0,0,0,0,0,0,0,1.37771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976444,0.254844,1.97862
9,13,5,0,0,0,0,0,0,0,0,0,0,0.436222,0,0,2.50267,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34865,0.436222,3.68752
2,1,3,0,0,0,0,0,0.132194,0,0,0,0,0,0,0,2.86246,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38401,0.210541,3.20519
11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12734,0.137828,3.34581
11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96314,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59091,0,2.96314
16,3,7,0,0,0,0,0,0,0,0,0,0,0.111925,0,0,1.80728,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60546,0.281832,2.20104
7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51009,0,0,0,0,0,0.283007,0,0,0,0,0,0,0,2.43935,0.283007,2.7931
14,16,4,0,0,0,0,0,0,0,0,0,0,0,0.289072,0,2.97002,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93009,0.289072,3.25909
11,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13978,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05054,0,3.13978
9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18235,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36918,0,6.18235
13,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40281,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16487,0,2.40281
4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12614,0,0,0,0,0,0,0,0,0,0,0,0.349716,0,2.795,0.349716,2.47585
13,16,4,0,0,0,0,0,0,0,0,0,0,0.113676,0.225042,0,0.441134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46702,0.225042,0.779852
15,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56243,0,0,0,0,0,0.136691,0,0,0.300267,0,0,0,0,1.76438,0.300267,1.99939
14,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44736,0,0,0,0,0,0,0,0,1.38673,0,0,0,0,2.41148,1.38673,3.44229
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94892,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04434,0.940928,3.51473
11,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887024,0,0,0,0,0,0,0,0.577198,0,0,0,0,0,0.779004,0.577198,1.57353
1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39161,1.50392,0,0,0,0,0,0,0,0,0,0,0,0,6.90734,1.50392,6.12108
15,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28302,0,0,0.464839,0,0,0,0,0,0,0,0,0,0,2.77497,0.464839,3.84953
16,3,9,0,0.375739,0,0,0,0,0,0,0,0,0,0,0,1.56981,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5651,0.375739,1.94555
5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835205,0,0,0,0,0,0,0,0,0.228222,0,0,0,0,1.00202,0.228222,1.06343
7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19029,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98494,0.255368,4.90451
9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536553,0,0.85953
14,14,7,0.219279,0,0,0,0,0,0,0,0,0,0,0,0,0.772331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795659,0.219279,0.99161
12,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85315,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61295,0.427869,2.84058
4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4891,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63206,0,3.4891
15,9,6,0,0,0,0,0.217826,0,0,0,0,0,0,0,0,1.65308,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7132,0.217826,2.11245
8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41552,0,0,0,0,0,0,0,0,2.01444,0,0,0,0,4.16885,2.01444,4.97057
2,13,6,0,0,0,0,0,0,0,0,0,0,0.422189,0,0,2.24298,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58712,0.422189,2.66517
2,12,2,0.181659,0,0,0,0,0,0,0,0,0,0,0,0,2.09949,0,0,0.952361,0,0,0,0,0,0,0,0,0,0,3.07559,0.952361,3.57508
4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65013,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22796,0.402079,2.19297
9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41914,0,0,0,0,0,0,0,0,0.930067,0,0,0,0,2.30663,0.930067,2.57865
3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71186,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14468,0,2.71186
12,9,1,0,0,0,0,0.153398,0,0,0,0,0,0,0,0,2.94526,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02512,0.467849,3.70894
2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512762,0.336223,1.16386
7,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65506,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4476,0.225957,2.88101
6,3,6,0,0,0,0,0,0,0,0,0,0,0.345252,0,0,1.77503,0,0,0,0,0,0,0,0,0.229336,0,0,0,0,2.13734,0.359379,2.70899
9,8,3,0,0,0,0,0,0,0,0,0,0,2.56157,0,0,2.79789,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03392,2.56157,5.6102
7,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44333,0.234487,0,0,0,0,0,0,0,0,0,0,0,0,3.54123,0.315462,3.99328
