ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE
4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07792,0,0,0,0,0,0,0,0,0,0,0,0.241039,0,1.72088
15,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43828,0,0.393193,0,0,0,0,0,0,0,0,0,0,0,2.97118
10,8,3,0,0.138564,0,0,0,0,0,0,0,0,0,0,0,2.89871,0,0,0,0,0,0,0,0.339997,0,0,0,0,0,2.63411
3,11,3,0,0.457701,0,0,0.103409,0,0,0,0,0,0,0,0.125664,2.76649,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74625
2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58146,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41876
7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944863
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781928
10,2,3,0,0,0,0,0,0,0,0,0,0.189171,0,0,0,1.27085,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10123
10,8,4,0,0,0,0,0.209559,0,0,0,0,0,0,0,0,2.30112,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46224
5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1.80158,3.13012,0,0,0.409432,0,0,0,0,0,0,0,0,0,0,9.85767
11,4,7,0,0,0,0,0.229825,0,0,0,0,0,0,0,0,1.37771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976444
9,13,5,0,0,0,0,0,0,0,0,0,0,0.436222,0,0,2.50267,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34865
2,1,3,0,0,0,0,0,0.132194,0,0,0,0,0,0,0,2.86246,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38401
11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12734
11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96314,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59091
16,3,7,0,0,0,0,0,0,0,0,0,0,0.111925,0,0,1.80728,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60546
7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51009,0,0,0,0,0,0.283007,0,0,0,0,0,0,0,2.43935
14,16,4,0,0,0,0,0,0,0,0,0,0,0,0.289072,0,2.97002,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93009
11,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13978,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05054
9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18235,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36918
13,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40281,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16487
4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12614,0,0,0,0,0,0,0,0,0,0,0,0.349716,0,2.795
13,16,4,0,0,0,0,0,0,0,0,0,0,0.113676,0.225042,0,0.441134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46702
15,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56243,0,0,0,0,0,0.136691,0,0,0.300267,0,0,0,0,1.76438
14,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44736,0,0,0,0,0,0,0,0,1.38673,0,0,0,0,2.41148
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94892,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04434
11,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887024,0,0,0,0,0,0,0,0.577198,0,0,0,0,0,0.779004
1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39161,1.50392,0,0,0,0,0,0,0,0,0,0,0,0,6.90734
15,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28302,0,0,0.464839,0,0,0,0,0,0,0,0,0,0,2.77497
16,3,9,0,0.375739,0,0,0,0,0,0,0,0,0,0,0,1.56981,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5651
5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835205,0,0,0,0,0,0,0,0,0.228222,0,0,0,0,1.00202
